School Name,Latitude,Longitude,LGA
Abbotsford Primary School,-37.80898,144.99881,Yarra (C)
Aberfeldie Primary School,-37.75649,144.89477,Moonee Valley (C)
Ainslie Parklands Primary School,-37.79379,145.26424,Maroondah (C)
Aintree Primary School,-37.7238,144.66623,Melton (C)
Aireys Inlet Primary School,-38.45737,144.10997,Surf Coast (S)
Airly Primary School,-38.02571,147.1139,Wellington (S)
Aitken Creek Primary School,-37.58175,144.90557,Hume (C)
Aitken Hill Primary School,-37.60171,144.90556,Hume (C)
Albanvale Primary School,-37.74402,144.77442,Brimbank (C)
Albany Rise Primary School,-37.92812,145.17289,Monash (C)
Albert Park Primary School,-37.84188,144.95277,Port Phillip (C)
Alberton Primary School,-38.61771,146.6666,Wellington (S)
Albion North Primary School,-37.76212,144.82304,Brimbank (C)
Albion Primary School,-37.77808,144.81975,Brimbank (C)
Aldercourt Primary School,-38.11662,145.16162,Frankston (C)
Alexandra Primary School,-37.19257,145.7117,Murrindindi (S)
Alfredton Primary School,-37.5548,143.8021,Ballarat (C)
All Saints Parish School,-38.35947,141.59279,Glenelg (S)
Allansford and District Primary School,-38.38628,142.59039,Warrnambool (C)
Alphington Primary School,-37.78352,145.03201,Yarra (C)
Altona Green Primary School,-37.88677,144.78492,Hobsons Bay (C)
Altona Meadows Primary School,-37.86869,144.77973,Hobsons Bay (C)
Altona North Primary School,-37.83698,144.84917,Hobsons Bay (C)
Altona Primary School,-37.86771,144.82274,Hobsons Bay (C)
Alvie Primary School,-38.2419,143.50332,Colac-Otway (S)
Amphitheatre Primary School,-37.18413,143.39924,Pyrenees (S)
Amsleigh Park Primary School,-37.90032,145.10878,Monash (C)
Anakie Primary School,-37.91267,144.25511,Greater Geelong (C)
Andersons Creek Primary School,-37.74822,145.20768,Manningham (C)
Anglesea Primary School,-38.39678,144.19184,Surf Coast (S)
Annunciation School,-37.82099,144.84796,Hobsons Bay (C)
Antonio Park Primary School,-37.81619,145.206,Whitehorse (C)
Apollo Parkways Primary School,-37.68739,145.10987,Nillumbik (S)
Appin Park Primary School,-36.34159,146.30071,Wangaratta (RC)
Apsley Primary School,-36.97371,141.08249,West Wimmera (S)
Araluen Primary School,-38.10805,147.08906,Wellington (S)
Ararat North Primary School,-37.27465,142.94005,Ararat (RC)
Ararat Primary School,-37.28594,142.93731,Ararat (RC)
Ararat West Primary School,-37.27736,142.921,Ararat (RC)
Ardeer Primary School,-37.78107,144.80049,Brimbank (C)
Ardeer South Primary School,-37.7884,144.799,Brimbank (C)
Ardmona Primary School,-36.38546,145.31307,Greater Shepparton (C)
Armadale Primary School,-37.85219,145.01777,Stonnington (C)
Armstrong Creek School,-38.23261,144.36731,Greater Geelong (C)
Arnolds Creek Primary School,-37.66636,144.54286,Melton (C)
Arthurs Creek Primary School,-37.579,145.2025,Nillumbik (S)
Ascot Vale Primary School,-37.77432,144.92612,Moonee Valley (C)
Ascot Vale West Primary School,-37.78068,144.91112,Moonee Valley (C)
Ashburton Primary School,-37.8622,145.08362,Boroondara (C)
Ashby Primary School,-38.13856,144.3471,Greater Geelong (C)
Ashley Park Primary School,-37.61564,145.12728,Whittlesea (C)
Aspendale Gardens Primary School,-38.02251,145.1168,Kingston (C)
Aspendale Primary School,-38.02027,145.09976,Kingston (C)
Athol Road Primary School,-37.97105,145.14997,Greater Dandenong (C)
Auburn Primary School,-37.82028,145.05048,Boroondara (C)
Auburn South Primary School,-37.83926,145.04589,Boroondara (C)
Australian Islamic Centre College,-37.8465,144.86247,Hobsons Bay (C)
Avenel Primary School,-36.90137,145.23472,Strathbogie (S)
Avoca Primary School,-37.0845,143.47565,Pyrenees (S)
Avondale Primary School,-37.76784,144.86085,Moonee Valley (C)
Axedale Primary School,-36.78623,144.50146,Greater Bendigo (C)
Bacchus Marsh Primary School,-37.67303,144.44312,Moorabool (S)
Badger Creek Primary School,-37.68134,145.53324,Yarra Ranges (S)
Bairnsdale Primary School,-37.82742,147.62323,East Gippsland (S)
Bairnsdale West Primary School,-37.82454,147.6081,East Gippsland (S)
Ballam Park Primary School,-38.14746,145.15828,Frankston (C)
Ballan Primary School,-37.60168,144.2311,Moorabool (S)
Ballarat North Primary School,-37.5401,143.86281,Ballarat (C)
Ballarat Primary School (Dana Street),-37.56401,143.85394,Ballarat (C)
Ballarat Steiner School,-37.64076,143.8622,Ballarat (C)
Balliang East Primary School,-37.79498,144.41535,Moorabool (S)
Balnarring Primary School,-38.37672,145.12282,Mornington Peninsula (S)
Balwyn North Primary School,-37.7967,145.07704,Boroondara (C)
Balwyn Primary School,-37.81394,145.08138,Boroondara (C)
Bandiana Primary School,-36.15296,146.92714,Wodonga (C)
Banum Warrik Primary School,-37.52093,144.95485,Hume (C)
Banyan Fields Primary School,-38.0946,145.18791,Frankston (C)
Banyule Primary School,-37.74361,145.07794,Banyule (C)
Baranduda Primary School,-36.18053,146.94812,Wodonga (C)
Barnawartha Primary School,-36.10131,146.67589,Indigo (S)
Barrawang Primary School,-37.59795,144.99354,Whittlesea (C)
Barton Primary School,-38.11498,145.23902,Casey (C)
Barwon Heads Primary School,-38.28119,144.48704,Greater Geelong (C)
Bass Valley Primary School,-38.43123,145.48877,Bass Coast (S)
Baxter Primary School,-38.19966,145.18155,Mornington Peninsula (S)
Bayles Regional Primary School,-38.17604,145.56603,Cardinia (S)
Bayswater North Primary School,-37.8288,145.29562,Maroondah (C)
Bayswater Primary School,-37.8433,145.25936,Knox (C)
Bayswater South Primary School,-37.8549,145.26135,Knox (C)
Bayswater West Primary School,-37.84907,145.25305,Knox (C)
Beaconsfield Primary School,-38.04863,145.37164,Cardinia (S)
Beaconsfield Upper Primary School,-37.9954,145.41476,Cardinia (S)
Bealiba Primary School,-36.78994,143.5519,Central Goldfields (S)
Beaufort Primary School,-37.43852,143.38172,Pyrenees (S)
Beaumaris North Primary School,-37.97424,145.03661,Bayside (C)
Beaumaris Primary School,-37.98527,145.03759,Bayside (C)
Beeac Primary School,-38.19397,143.64428,Colac-Otway (S)
Beechworth Montessori School,-36.36669,146.69353,Indigo (S)
Beechworth Primary School,-36.35543,146.69357,Indigo (S)
Belgrave South Primary School,-37.9312,145.35792,Yarra Ranges (S)
Bell Park North Primary School,-38.10589,144.33602,Greater Geelong (C)
Bell Primary School,-37.7477,144.99061,Darebin (C)
Bellaire Primary School,-38.17959,144.31977,Greater Geelong (C)
Bellbrae Primary School,-38.33364,144.263,Surf Coast (S)
Bellbridge Primary School,-37.87108,144.71078,Wyndham (C)
Belle Vue Park Primary School,-37.7012,144.94394,Merri-bek (C)
Belle Vue Primary School,-37.78252,145.07865,Boroondara (C)
Belmont Primary School,-38.17067,144.3421,Greater Geelong (C)
Belvedere Park Primary School,-38.10984,145.14693,Frankston (C)
Bendigo Primary School,-36.75702,144.26524,Greater Bendigo (C)
Bentleigh West Primary School,-37.92059,145.02677,Glen Eira (C)
Benton Junior College,-38.24595,145.06111,Mornington Peninsula (S)
Berwick Chase Primary School,-38.06743,145.34696,Casey (C)
Berwick Fields Primary School,-38.04874,145.33439,Casey (C)
Berwick Lodge Primary School,-38.03114,145.32743,Casey (C)
Berwick Primary School,-38.04409,145.35442,Casey (C)
Bethal Primary School,-37.6592,144.91782,Hume (C)
Bethanga Primary School,-36.12064,147.09576,Towong (S)
Bethany Catholic Primary School,-37.87559,144.65866,Wyndham (C)
Beulah Primary School,-35.94494,142.41826,Yarriambiack (S)
Beverford District Primary School,-35.23248,143.47891,Swan Hill (RC)
Beveridge Primary School,-37.47206,144.97776,Mitchell (S)
Beverley Hills Primary School,-37.79624,145.15984,Manningham (C)
Big Hill Primary School,-36.83058,144.24247,Greater Bendigo (C)
Billanook Primary School,-37.82495,145.33925,Yarra Ranges (S)
Bimbadeen Heights Primary School,-37.77376,145.32114,Yarra Ranges (S)
Binap Primary School,-37.70113,144.54454,Melton (C)
Birmingham Primary School,-37.77958,145.36852,Yarra Ranges (S)
Birralee Primary School,-37.79342,145.11335,Manningham (C)
Birregurra Primary School,-38.34046,143.78651,Colac-Otway (S)
Bittern Primary School,-38.33986,145.17168,Mornington Peninsula (S)
Black Hill Primary School,-37.54984,143.86978,Ballarat (C)
Black Rock Primary School,-37.96987,145.02165,Bayside (C)
Blackburn Lake Primary School,-37.8276,145.1661,Whitehorse (C)
Blackburn Primary School,-37.81657,145.1567,Whitehorse (C)
Boisdale Consolidated School,-37.87959,146.97947,Wellington (S)
Bolinda Primary School,-37.43373,144.7454,Macedon Ranges (S)
Bolwarra Primary School,-38.28161,141.6138,Glenelg (S)
Bona Vista Primary School,-38.21052,145.95991,Baw Baw (S)
Bonbeach Primary School,-38.06649,145.12564,Kingston (C)
